arch_seq,id,objective,elapsed_sec,duration
"[40, 7, 0, 41, 1, 0, 1, 91, 3, 0, 0, 0, 99, 1, 0, 0, 0, 0, 14, 2, 1, 1, 1, 0, 84, 6, 0, 0, 0, 0, 19, 6, 0, 1, 0, 0]",36,2.5016136169433594,1020.2853982448578,1014.778391122818
"[29, 8, 0, 25, 9, 0, 0, 45, 9, 1, 1, 0, 106, 6, 0, 1, 1, 1, 36, 9, 1, 1, 1, 0, 174, 7, 1, 1, 0, 0, 118, 4, 0, 1, 1, 1]",18,2.4706621170043945,1172.1929516792297,1166.6869585514069
"[73, 6, 0, 51, 10, 1, 1, 162, 7, 0, 1, 0, 133, 4, 0, 1, 0, 1, 81, 5, 1, 1, 1, 0, 29, 9, 1, 0, 1, 1, 93, 0, 1, 1, 1, 0]",16,2.4813926219940186,1221.0330209732056,1215.5271422863007
"[1, 4, 0, 113, 9, 0, 0, 155, 4, 1, 0, 0, 168, 4, 0, 0, 0, 0, 152, 0, 0, 0, 1, 0, 139, 10, 0, 1, 1, 0, 132, 1, 1, 0, 1, 1]",39,2.4544830322265625,2674.3670637607574,2668.859888076782
"[25, 9, 0, 160, 9, 0, 0, 135, 1, 0, 0, 1, 74, 1, 1, 1, 1, 0, 176, 8, 0, 1, 1, 1, 82, 5, 0, 0, 1, 1, 154, 1, 0, 1, 1, 1]",28,2.450963258743286,3302.401477575302,3296.894920349121
"[118, 8, 0, 99, 0, 1, 1, 82, 7, 1, 1, 0, 22, 5, 1, 1, 0, 1, 38, 10, 0, 0, 1, 1, 2, 1, 0, 0, 0, 0, 155, 0, 1, 0, 0, 0]",4,1.5225292444229126,8116.774019241333,8111.268901109695
"[170, 7, 1, 4, 2, 1, 0, 8, 9, 1, 1, 0, 79, 9, 1, 0, 1, 0, 101, 5, 0, 0, 1, 0, 21, 4, 0, 0, 0, 1, 14, 6, 0, 1, 0, 0]",30,0.8094094395637512,8193.766491174698,8188.259817838669
"[92, 1, 0, 71, 0, 1, 0, 128, 0, 1, 0, 0, 148, 8, 1, 1, 1, 0, 64, 7, 1, 1, 1, 1, 149, 10, 0, 0, 0, 1, 173, 4, 1, 0, 1, 1]",19,0.32868561148643494,12572.250886678696,12566.74483346939
"[90, 0, 0, 145, 0, 0, 0, 34, 3, 0, 1, 0, 89, 10, 1, 0, 0, 0, 94, 6, 1, 1, 1, 1, 63, 5, 1, 1, 0, 1, 56, 8, 0, 1, 0, 1]",1,0.2858908474445343,14063.239453315735,14057.734523773193
"[5, 10, 1, 172, 4, 0, 0, 109, 3, 1, 1, 0, 28, 10, 0, 0, 1, 0, 42, 10, 0, 0, 0, 1, 57, 1, 1, 0, 0, 1, 173, 3, 1, 0, 0, 1]",7,0.9154037833213806,14929.451660633087,14923.946329593658
